gene
gene-HMPREF1261_RS03260
gene-HMPREF1261_RS01770
gene-HMPREF1261_RS04765
gene-HMPREF1261_RS08300
gene-HMPREF1261_RS06460
gene-HMPREF1261_RS06760
gene-HMPREF1261_RS05720
gene-HMPREF1261_RS05725
gene-HMPREF1261_RS11580
gene-HMPREF1261_RS11590
gene-HMPREF1261_RS06475
gene-HMPREF1261_RS06480
gene-HMPREF1261_RS00320
gene-HMPREF1261_RS00325
gene-HMPREF1261_RS00430
gene-HMPREF1261_RS00435
gene-HMPREF1261_RS00440
gene-HMPREF1261_RS00445
gene-HMPREF1261_RS11770
gene-HMPREF1261_RS11775
gene-HMPREF1261_RS11785
gene-HMPREF1261_RS11790
gene-HMPREF1261_RS03085
gene-HMPREF1261_RS03090
gene-HMPREF1261_RS03095
gene-HMPREF1261_RS03250
gene-HMPREF1261_RS03255
gene-HMPREF1261_RS04095
gene-HMPREF1261_RS04100
gene-HMPREF1261_RS04105
gene-HMPREF1261_RS04110
gene-HMPREF1261_RS04400
gene-HMPREF1261_RS04405
gene-HMPREF1261_RS04410
gene-HMPREF1261_RS04415
gene-HMPREF1261_RS04420
gene-HMPREF1261_RS05675
gene-HMPREF1261_RS05680
gene-HMPREF1261_RS05685
gene-HMPREF1261_RS05690
gene-HMPREF1261_RS05695
gene-HMPREF1261_RS05700
gene-HMPREF1261_RS05770
gene-HMPREF1261_RS05775
gene-HMPREF1261_RS05780
gene-HMPREF1261_RS05785
gene-HMPREF1261_RS06090
gene-HMPREF1261_RS06095
gene-HMPREF1261_RS02740
