Energy production and conversion
Energy production and conversion
Energy production and conversion
Coenzyme transport and metabolism
Inorganic ion transport and metabolism
Inorganic ion transport and metabolism
Inorganic ion transport and metabolism
Inorganic ion transport and metabolism
Transcription
Lipid transport and metabolism
Secondary metabolites biosynthesis, transport and catabolism
Mobilome: prophages, transposons
Lipid transport and metabolism
Lipid transport and metabolism
Lipid transport and metabolism
