Sample,Species,Prev.
Nasal/pharyngeal  (n=3387),CA,46.717067583047
Skin  (n=3235),CA,24.0185471406491
Gut  (n=41864),CA,4.15870437607491
Lung  (n=4410),CA,3.78684807256236
Oral  (n=8792),CA,1.50136487716106
Vaginal  (n=1345),CA,1.41263940520446
Nasal/pharyngeal  (n=3387),CM,1.09425625920471
Skin  (n=3235),CM,2.68933539412674
Gut  (n=41864),CM,0.0167208102426906
Lung  (n=4410),CM,0.408163265306122
Oral  (n=8792),CM,0.0454959053685168
Vaginal  (n=1345),CM,0
